"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"35","planar","275","other","","","False","8","planar:275","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x3}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-7-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"36","planar","278","other","","","False","8","planar:278","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x3}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"37","planar","279","other","","","False","8","planar:279","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x3}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"38","planar","287","other","","","False","8","planar:287","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x0, x3, x4}","5","18","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""binomial"" -> 1, ""polynomial-10-term"" -> 1, ""polynomial-9-term"" -> 1, ""polynomial-8-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"39","planar","290","other","","","False","8","planar:290","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x4}","6","23","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"40","planar","291","other","","","False","8","planar:291","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x4}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"41","planar","292","other","","","False","8","planar:292","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x0, x3, x5}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-7-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"42","planar","293","other","","","False","8","planar:293","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x0, x3, x5}","5","22","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-6-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"43","planar","298","other","","","False","8","planar:298","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x0, x3, x4}","5","18","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-8-term"" -> 1, ""binomial"" -> 1, ""polynomial-9-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"44","planar","301","other","","","False","8","planar:301","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{}","8","23","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-10-term"" -> 1, ""polynomial-7-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
